,role_title,company_name,company_industry,company_headquarter,company_url,location_of_job,posted_time,collect_date,experience_needed,career_level,education_level,salary,job_categories,skills_and_tools,job_description,job_requirements
0,Data Analyst,Confidential Company ,unknown,unknown,unknown,"10th of Ramadan City, Sharqia",Posted 4 days ago,2023-06-16,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance - Logistics/Supply Chain - Analyst/Research ,Analysis - Power BI - Financial Analysis - SAP - Data Analysis - Logistics - business - Planning - Business Administration ,"Improve the efficiency of supply chain operations through data collection and analysis.  - Monitor and collect data on current operations, including scheduling, sourcing, warehousing, and delivery.  - Analyze data to identify areas of supply chain operations to improve efficiency. - Analyze data to identify problematic areas and suggest improvements. - Gather data on each step within the supply chain, using it to recommend changes to reduce costs. - Investigate pain points within the process and develop solutions to resolve conflicts and inefficiencies. - Develop and execute projects to enhance supply chain operations. - Establish and maintain relationships with shippers and vendors. - Assess vendor operations and enforce compliance with quality standards. - Measure supply chain performance and report to management. - Work with the procurement, logistics and IT departments to enhance service delivery. - Communicate with other departments within the organization to identify efficiency issues, develop solutions, and implement changes. - Discover the most cost-effective shipping modes and schedules. - Track KPIs and report on supply chain’s performance. ","Bachelor’s Logistics, Business Administration or its equivalent - Experience: at least 3 years in a similar job - Proficiency in the English language - Proficiency in MS Office - Proficient in Power BI - SAP proficiency  - Attention to details - Strategic analysis - Time Management  - Planning and organization skills - Strong analytical skills - Excellent attention to details. - Effective communication skills - Data Analysis - "
1,Data Analyst,Confidential Company ,unknown,unknown,unknown,"Mohandessin, Giza",Posted 15 days ago,2023-06-16,2 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising ,Analyst - Analysis - Data - Data Analysis - Data Analyst - Statistics ,"Interpret data, analyze results using statistical techniques and provide ongoing reports - Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality - Acquire data from primary or secondary data sources and maintain databases/data systems - Identify, analyze, and interpret trends or patterns in complex data sets - Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems - Work with management to prioritize business and information needs - Locate and define new process improvement opportunities ","Proven working experience as a Data Analyst or Business Data Analyst - Technical expertise regarding data models, database design development, data mining and segmentation techniques - Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks) - Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc) - Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy - Adept at queries, report writing and presenting findings - BS in Mathematics, Economics, Computer Science, Information Management or Statistics - "
2,Junior Data Analyst - Remote Work - US Clients,InitRes,Information Technology Services,"Cairo, Egypt • 11-50 employees",https://wuzzuf.net/jobs/careers/InitRes-Egypt-68636,"Cairo, Egypt",Posted 11 days ago,2023-06-16,1 to 5 years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,IT/Software Development ,PowerBi - Data Analytics - Data Analysis - Tableau - AWS QuickSight - SQL Server ,"Interpreting data, analyzing results using statistical techniques, and providing ongoing reports. - Developing and implementing databases, data collection systems, data analytics, and other strategies that optimize statistical efficiency and quality. - Acquiring data from primary or secondary data sources and maintaining databases/data systems. - Identifying, analyzing, and interpreting trends or patterns in complex data sets. - Using AWS QuickSight, PowerBI, and Tableau to create data dashboards and visualize data in a meaningful way. - Working with management to prioritize business and information needs. ","Bachelor's degree in Computer Science, Information Systems, or a related field. - 1-2 years of experience in data analysis. - Experience with data visualization tools like AWS QuickSight, PowerBI, and Tableau. - Strong knowledge of and experience with reporting packages, databases, and programming. - Knowledge of statistics and experience using statistical packages for analyzing datasets. - Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy. - Fluency in English is a must. - A fully remote work environment - Competitive salary and benefits - A supportive and inclusive team environment - Opportunities for professional development and growth - "
3,Data Entry Specialist / Tariff Analyst,Tripathon,Information Technology Services,"Cairo, Egypt • 11-50 employees",https://wuzzuf.net/jobs/careers/Tripathon-Armenia-37809,"Cairo, Egypt",Posted 11 days ago,2023-06-16,0 to 3 years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance ,Data Entry - English - Administration ,Fill In contract rates into Tripathon’s back office / Data Entry - Monitor rates of competitors - Contact hotels to solve price & allotment disputes - Perform data & trend analysis and sharing feedback with hotels - Share conclusions with Tripathon contractors & other departments - Participate in preparation of sales reports & comparisons - Shift bookings to maximize profits ,"0 to 3 years of experience in Hospitality / Hotel Industry experience - Bachelor's degree in Business Management - Excellent English speaking and writing skills - Analytical mindset - Extremely organized and detail-oriented - Good communication skills - Good Negotiation skills - Energetic, sincere, patient, and adaptable - Fantastic team player - "
4,Data Analyst,Talaat Moustafa Group,"Real Estate/Property Management, Retail",Egypt • More than 1000 employees,https://wuzzuf.net/jobs/careers/Talaat-Moustafa-Group-Egypt-3106,"Dokki, Giza",Posted 17 days ago,2023-06-16,1 to 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyst/Research ,Analysis - business - Computer Science - Data Analysis - Data - Database - excel - Information Technology (IT) - Reporting - Statistics - Tableau - SQL ,,"Strong mathematical skills to help collect, measure, organize, and analyze data  - Knowledge of programming languages like SQL, Oracle, R, MATLAB, and Python - Technical proficiency in database design development, data models, techniques for data mining, and segmentation. - Experience in handling reporting packages like Business Objects, programming (JavaScript, XML, or ETL frameworks), databases - Proficiency in statistics and statistical packages like Excel, SPSS, and SAS to be used for data set analyzing - Adept at using data processing platforms like Hadoop and Apache Spark - Knowledge of data visualization software like Tableau, Qlik - Understanding of how to create and apply the most accurate algorithms to datasets in order to find solutions  - Problem-solving skills - Accuracy and attention to detail - Adept at queries, writing reports, and making presentations - Team-working skills - Verbal and Written communication skills - Proven working experience in data analysis - "
5,Senior Data Analyst (BI & DWH),Masary,"Computer Software, Information Technology Services","Cairo, Egypt • More than 1000 employees",https://wuzzuf.net/jobs/careers/Masary-Egypt-11058,"Mokattam, Cairo",Posted 17 days ago,2023-06-16,4 to 7 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development ,Computer Science - BI - Data Warehouse - Oracle - SQL - ETL - SQL Server ,"Extract and integrate data from different sources to Data warehouse. - Create BI dashboards and reports. - Provide consultation and trainings to teams who work with BI Solutions. - Collaborate with business leads, application owners, end users and third-party contacts to design, implement and test data warehouse applications in a phased manner. - Develop and test unit, system, performance with regression on ETL mappings. ","Experience +4 yrs. in the same position. - Excellent experience in SQL. - Proven Experience with Data warehouse. - Proven Experience with Business Intelligence tool (Qlik, OBIEE). - 4+ years of hands-on experience in design and implementation of ETL framework for complex data warehouse projects. - Excellent knowledge of relational data modeling (ERD), SQL and data warehousing. - Experience in multiple database platforms, including POSTGRES, SQL Server, Oracle. - Hands-on experience in writing complex T-SQL and database performance tuning. - Should have expert level experience in building data lakes and data marts by working with each business unit and building high impact BI reports ,data warehouse projects - Good knowledge with MS office (Excel, Word … ETC). - "
6,Data Analyst,Carina Wear,Retail,"Cairo, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/Carina-Wear-Office-Egypt-20411,"New Cairo, Cairo",Posted 19 days ago,2023-06-16,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Data Analysis - Microsoft Power BI - business - Analysis - Computer Science - Big Data Analytics - Power BI - Visualization - SQL - Python - Data Warehousing - Data Warehouse - ETL Tools - ETL - DAX ,"Develop and execute standard reports, custom reports, and data files including data query tools and provide to SME’s. - Interpret data and analyze results using statistical techniques and provide ongoing reports. - Identify, analyze, and interpret trends or patterns in complex data sets. - Work closely with the Merchandising Manager to prioritize business and information needs. - Initially validate results to ensure data integrity of the reports and/or files produced. - Work with internal customers on custom data reporting and file requests to define requirements, create queries to meet requirements, conduct testing, and any import/export processes. - Establish and document report data formatting, delivery methods, and maintenance procedures. - Support corporate initiatives and projects related to data requests and analytical products. - Work with operation managers and system staff  to coordinate data file transfers if needed. - Submit routine reports to internal staff and executive team as requested. - Complete other duties as assigned. ","Bachelor’s Degree in Computer science is a must. - 1-3 years of related experience in Retail business module is preferred. - Advanced skills in using Microsoft office; word, excel, Power Bi and PowerPoint. - Advanced skills in using SQL. - High proficiency of Arabic and English Languages. - Ability to interpret, analyze, and write reports. - Data warehousing background is preferred. - "
7,Data Science [ Data Analyst / Machine Learning / AI ] Instructor ( Trainer ),Confidential Company ,unknown,unknown,unknown,"Nasr City, Cairo",Posted 21 days ago,2023-06-16,1 to 4 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Training/Instructor ,Data Science - Data Analysis - Data Analytics - Machine Learning - Artificial Intelligence (AI) - Python - NumPy - Pandas - Microsoft Power BI - Tableau - Statistics - Computer Science - Instructor - AI - Natural Language Processing (NLP) - Computer Vision - Deep Learning - Neural Networks ,"Develop & maintains positive relationships with attendees - Experience in the Data Science field - Proficient in Python programming language and its libraries such as Pandas, Numpy, and seaborn - Experience with Data Visualization tools such as Tableau and Power BI - Experience of Statistical Analysis and Machine Learning algorithms - Can explain professionally the track - Location: Nasr City, Cairo, Egypt ",Soft and Communication skills are highly recommended - BSc of Engineering or Computer Science is a plus - ITI graduate is a plus - Related certificate is a plus - Experience 3+ years in the same field - Experience 2+ years in the same field as an instructor (preferred) - 
8,"Business Analyst, Data Analytics",Sutherland,Telecommunications,"Alexandria, Egypt • More than 1000 employees",https://wuzzuf.net/jobs/careers/Sutherland-Global-Services-Egypt-1009,"Riyadh, Saudi Arabia",Posted 21 days ago,2023-06-16,8 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyst/Research ,Microsoft SQL Server - Microsoft Power BI - ETL - BPM - OLAP ,"8+ years of experience in the IT industry in product development as a business analyst. - A business analyst should be able to comprehend the business problems and requirements of the client. - The business analyst must analyze and translate the client’s requirements distinctly and prioritize them. - Should be capable of creating and assessing multiple options before arriving at the aspired solution. - Ability to communicate concisely with the stakeholders and clients regarding the requirements. - Carry out a cost-benefit analysis to assess the costs and benefits expected in a project. - Business analysts must be proficient in using various business intelligence tools (Dashboard, Visualizations, BI Reporting Tools, Predictive Analytics, Data Mining, ETL ""extract transfer loads"", tools that transfer data from one datastore to another ,OLAP, Online analytical processing ,Drill-Down, ) for creating reports and dashboards. - must be proficient in (Business Process Modeling (BPM), Brainstorming, CATWOE, MoSCoW (Must or Should, Could or Would), MOST (Mission, Objectives, Strategies, and Tactics) Analysis, PESTLE Analysis, SWOT Analysis, Six Thinking Hats, The 5 Whys, Non-Functional Requirement Analysis) - Business analysts develop general reports and dashboard reports to solve decision-making problems. - Should be good at documentation of all the phases of the project. - It is good to have knowledge in software product development and mobile app development. - Hands on with Excel, SQL and visualization tools such as Power BI is an added advantage. - It’s good to have hands-on programming knowledge. ",Bachelors or master’s from a reputed institute - Arabic / English speaking and writing skills are must - 
9,Data Analyst,Partner & More,"Human Resources, Management Consulting, Recruitment and Staffing","Cairo, Egypt • 1-10 employees",https://wuzzuf.net/jobs/careers/Partner---more-Egypt-22617,"6th of October, Giza",Posted 24 days ago,2023-06-16,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"7000 to 10000 EGP Per Month, Company transportation provided
Annual contract
2 days off
Medical & Life Insurance",IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Data Analysis - Analysis - Data - Computer Science - Information Technology (IT) ,"For a Multinational company in Giza, we are looking for a candidate who will use their passion for data and analytics to provide insights to the business covering a range of topics related to the business operations, whether raw material or final product data.  Salary offered is EGP7000-10000 depending on Experience. - Reporting directly to the GM, you will be responsible for: - Understanding the day-to-day issues that our business faces, which can be better understood with data - Compiling and analyzing all data related to business' issues whether raw material or final product - Presenting the data analyzed in a clear format to the management ","Bachelor's degree in related field or equivalent experience - 1 - 3 years' Data Analysis experience - Proficient in Excel - Excellent English - Excellent Analytical skills - Teamplayer - Presentation skills - Giza resident, preferably October and vicinity - "
