,role_title,company_name,company_industry,company_headquarter,company_url,location_of_job,posted_time,collect_date,experience_needed,career_level,education_level,salary,job_categories,skills_and_tools,job_description,job_requirements
0,Senior Data Analyst,Sceel.io,"Computer Software, Outsourcing/Offshoring, Recruitment and Staffing","Cairo, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/sceel-Egypt-73908,"Maadi, Cairo",Posted 4 days ago,2023-05-12,3 to 7 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analyst - Analysis - BI - MySQL - SQL - Data Analysis - Data Analyst - Data ,"Support the Operations and Product teams in a) monitoring daily operations, b) in automating recurring workflows, and c) in decision-making, by 1) understanding their data needs, 2) building SQL queries, 3) providing analyses, reports, dashboards, and visualizations; - Work hand-in-hand with our Data Engineering team to help improving our Data Warehouse as well as ensure consistent and scalable data modelling; - Work closely with Product, Engineering, and Data leadership to make sound technical decisions across the entire data ecosystem; - Become the Subject Matter Expert for all data analysis-related topics; - Keep track of industry trends, best practices, and technologies to continually improve our technology (and ourselves!); - Contribute to the hiring, mentorship, and management of junior data analysts (as the Data team expands). ","Graduated from Computer science or equivalent degree is a must  - 4-6 years of experience in data analyst, BI analyst or similar analytics role(s); - Expert knowledge of SQL and RDBMS concepts (e.g. PostgreSQL, MySQL); - Strong experience with visualization tools (e.g. Metabase); - Strong knowledge of best practices for data analytics; - Experience providing mentorship to junior data analysts; - Good English communication skills and ability to perform in fast-paced and multicultural environment; - At least Upper-Intermediate English. - "
1,Data Analyst, Circle K,"FMCG, Supermarkets","Cairo, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/-Circle-K-Egypt-17921,"Sheraton, Cairo",Posted 22 hours ago,2023-05-12,2 to 4 years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Analyst/Research ,Data Analysis - Data Mining - business ,"Managing master data, including creation, updates, deletion, and contract Updates. - Provide quality assurance of imported data. - Processing confidential data and information according to guidelines. - Helping develop reports and analysis. - Managing and designing the reporting environment, including data sources. - Generating reports. - Controlling the stock level in the outlets and make sure that the cash flow of the company is well utilized and in the good direction. - Following up on orders and make sure that the new items are ordered and delivered. - Update internal and external data for the company and the vendors too. - Evaluate suppliers and Design supplier score card analysis form. - Clarify the Fast Moving Items and all SKUs  - Making a price survey in competition to ensure that the prices are matching with the market - Database clean up on a monthly basis. - Store visits to be able to determine the capacity for the store. - Assortment management across all stores. - Sourcing new suppliers to enhance every category. ","Proven working experience as a Data Analyst or Business Data Analyst - Technical expertise regarding data models, database design development, data mining and segmentation techniques - Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy - Adept at queries, report writing and presenting findings - "
2,Data Analyst,ITCan,Marketing and Advertising,"Cairo, Egypt • 51-100 employees",https://wuzzuf.net/jobs/careers/ITCan-Egypt-27905,"Rehab City, Cairo",Posted 9 days ago,2023-05-12,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyst/Research ,BI - Analysis - analytical - Computer Science - Data Analysis - Development - Engineering - Information Technology (IT) - Power BI - Data - Science - Tableau - Microsoft Power BI - dashboards - data modeling - data visualization ,"Designing, developing and maintaining business intelligence solutions. - Crafting and executing queries upon request for data. - Presenting information through reports and visualization. - Interact with the team to gain an understanding of the business environment, technical context and organizational strategic direction. - Ensuring data accuracy, performance, usability, and functionality requirements of BI platform. - Collaborate with teams to integrate all data-based systems. - Manage data through MS Excel, Google sheets, and SQL applications, as required and support other analytics platform. - Develop and execute database queries and conduct analyses. - Create visualizations and reports for requested projects. - Develop and update technical documentation requirements. ","BSc/BA in Computer Science, Engineering, or relevant field.  - Financial experience and Marketing background is a plus.  - Strong Power BI development skills including Migration of existing deliverables to PowerBI.  - Ability to work autonomously.  - Data modeling, Calculations, Conversions, - Proven experience as a Power BI Developer is a must. Industry experience is preferred. -  Familiarity with other BI tools (Tableau, QlikView).  - Excellent analytical skills. - "
3,Export Data Analyst,Evyap Egypt,Cosmetics,"Alexandria, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/Evyap-Egypt-Egypt-8591,"Sheraton, Cairo",Posted 23 days ago,2023-05-12,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,Sales/Retail ,excel - Analyst - Business Data - Data Analyst - Analysis ,"Updates the Headmaster file every month when receiving sales report from Egypt / Turkey and Malaysia. - Prepares the monthly report for year to date (YTD) versus budget analysis for export team.  - Prepares value chain files / analysis when requested by Regional Export Manager - Prepares stock and sales report for all export clients. - Prepares a precise analysis of the sales for every country in terms of volume and value when requested. - Assigns product line code for all Egypt products. - Prepare sales data and presentations needed by Export team. - Prepare monthly forecast report for Egypt & International products. - Prepare KSA price monitoring monthly report for bar soap and diapers. - Handling Sales team orders and requests for all the countries KSA, ROBU & Sub-Sahara . - Checking the status of the order & the shipment on a daily basis with the related department. - Following up with related department about the document of the shipments & sharing it with the customer. - Communicating with customers by phone or email to inform them of their shipments status or answering any inquiries. - Tracking the order with the customer about what is sent vs their order on the system and managing the remaining to be sent on the next shipment.  - Day-to-day request with the Export team. ",Proven working experience as a Data Analyst or Business Data Analyst - Bachelor  Degree - 4-6 years of experience - Fluent English  - Excellent with Excel & PPT - 
4,Data Analyst,The Address Investments for Real Estate Consultancy,"Real Estate/Property Management, Consulting Services","Cairo, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/The-Address-for-Realstate-Consultancy-Egypt-28523,"New Cairo, Cairo",Posted 1 month ago,2023-05-12,2 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - Analyst - analytical - business - Computer Science - Data - Data Analysis - Data Analyst - Economics - Information Technology (IT) - SQL - Statistics ,using specialist tools to extract the data needed - responding to data-related queries and keeping track of these - analysing data to identify trends - setting up processes and systems to make working with data more efficient - researching new ways to make use of data - producing reports and charts communicating trends within data to non-specialists - presenting information generated from data to clients and managers. ,"Proven working experience as a Data Analyst or Business Data Analyst - Technical expertise regarding data models, database design development, data mining and segmentation techniques - Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks) - Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc) - Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy - Adept at queries, report writing and presenting findings - BS in Mathematics, Economics, Computer Science, Information Management or Statistics - "
5,Data Analyst,The Egyptian Microfinance Company- Maksab,Accounting and Auditing Services,Egypt • 11-50 employees,https://wuzzuf.net/jobs/careers/The-Egyptian-Microfinance-Company--Maksab-Egypt-76536,Maksab ,Posted 1 month ago,2023-05-12,1 to 3 years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance - IT/Software Development - Analyst/Research ,Computer Science - Data Analysis ,"Interpret data, analyze results using statistical techniques and provide ongoing reports - Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality - Acquire data from primary or secondary data sources and maintain databases/data systems - Identify, analyze, and interpret trends or patterns in complex data sets - Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems - Work with management to prioritize business and information needs - Locate and define new process improvement opportunities ","Proven working experience as a Data Analyst or Business Data Analyst - Technical expertise regarding data models, database design development, data mining and segmentation techniques - Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks) - Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc) - Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy - Adept at queries, report writing and presenting findings - BS in Mathematics, Economics, Computer Science, Information Management or Statistics - "
6,Data Quality Analyst,The Address Investments for Real Estate Consultancy,"Real Estate/Property Management, Consulting Services","Cairo, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/The-Address-for-Realstate-Consultancy-Egypt-28523,"New Cairo, Cairo",Posted 1 month ago,2023-05-12,1 to 3 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Quality - Engineering - Telecom/Technology ,Analysis - Analyst - Computer Science - Data - analytical - Communication skills - Data Analysis - Information Technology (IT) - Management - Programming - SQL - Science - Statistics ,"Performing statistical tests on large datasets to determine data quality and integrity. - Evaluating system performance and design, as well as its effect on data quality. - Collaborating with database developers to improve data collection and storage processes. - Running data queries to identify coding issues and data exceptions, as well as cleaning data. - Gathering data from primary or secondary data sources to identify and interpret trends. - Reporting data analysis findings to management to inform business decisions and prioritize information system needs. - Documenting processes and maintaining data records. - Adhering to best practices in data analysis and collection. - Keeping abreast of developments and trends in data quality analysis. ","Bachelor's degree in statistics, mathematics, computer science, information management, or similar. - At least 5 years of experience in data analysis. - Proficiency in programming languages, including Structured Query Language (SQL) and JavaScript. - In-depth knowledge of statistical methods and tests. - Extensive experience with statistical packages, such as MS Excel, SAS, and SPSS - Exceptional analytical skills. - Advanced problem-solving skills. - Knowledge of best practices in data analysis. - Excellent interpersonal and communication skills - "
7,Pricing Analyst,Etisalat Egypt,Telecommunications,"Cairo, Egypt • More than 1000 employees",https://wuzzuf.net/jobs/careers/Etisalat-Misr-Egypt-4219,"New Cairo, Cairo",Posted 15 hours ago,2023-05-12,1 to 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Marketing/PR/Advertising ,actuarial science - Commercial Finance Analyst - Financial Data Analysis - Data Analysis ,"Perform prepaid pricing analysis on Etisalat new and existing prepaid products and services to ensure full financial assessment.  -  Perform & update the prepaid pricing encyclopedia as well as the prepaid market initiatives. - Conduct prepaid benchmarking exercise to ensure toning with Etisalat competitors. Responsible of issuance of the prepaid pricing memos. - Analyze, design & construct promotions /tariffs to ensure Etisalat activity in terms of pricing to achieve market & value share. -  Assess Etisalat pricing versus competition pricing by conducting a comprehensive pricing marketing analysis and proposing Etisalat initiatives. - Participate in Etisalat tariffs design & pricing points. Perform pricing analysis on Etisalat new and existing products and services. -  Conduct feasibility studies on major ad-hoc marketing Etisalat projects. Participate in the Etisalat pricing Strategy & assuring alignment with Etisalat Global Strategy.  - •Conduct war game pricing exercise.  - Set and monitor KPIs to evaluate the effectiveness of Etisalat pricing activity Forecast price sensitivity, price elasticity of demand and value perception in specific customer segments. - Conduct revenue boosting exercise. Conduct, benchmark and assess the existing competitor’s tariffs to ensure that our pricing strategy is competitive in accordance to market standards. Manage the pricing Encyclopedia guide. Maintain & enhance Etisalat pricing objectives. ",Analytical Skills & Good with numbers. - Economics/Finance background. - 1-3 years of experience. - Presentation skills - 
8,"Business Analyst ""Data & AI""",Global Brands,"Computer Hardware, Computer Networking, Information Technology Services","Cairo, Egypt • 101-500 employees",https://wuzzuf.net/jobs/careers/gbrands-com-555,"New Cairo, Cairo",Posted 1 month ago,2023-05-12,2 to 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Business Development - Engineering - Telecom/Technology ,analytical - BI - Business Analysis - Computer Science - Data Analysis - Power BI - Analysis - business - Data ,"Prepare business analysis and requirements documents. - Conduct research and analysis to gather requirements, identify gaps, and propose solutions for complex business problems. - Prepare technical documentation and user manuals for Data & AI projects. - Prepare source-to-target mappings, data dictionaries, and database design documentation. - Collaborate with cross-functional teams, including data engineers, data scientists, and project managers, to ensure project success. - Create and maintain project plans, timelines, and budgets. - Support the development of data models, algorithms, and other technical artifacts. - Conduct stakeholder interviews and facilitate workshops to gather requirements and align project goals. - Communicate project progress and results to stakeholders and senior leadership. - Identify areas for process improvement and implement changes to improve project outcomes. ","Bachelor’s degree in computer science or equivalent. - 2-3 years of experience in business analysis, technical writing, or a related field. - 2-3 years of experience with data warehousing, modelling, and analytics projects. - Familiarity with visualization tools, such as Power BI or Tableau. - Strong analytical and problem-solving skills. - Excellent written and verbal communication skills. - Ability to work in a fast-paced, deadline-driven environment. - Knowledge of Agile / SCRUM methodologies. - Proficiency in project management tools, such as JIRA, Trello, or Asana. - Ability to work independently and as part of a team. - "
9,Business Analyst Supervisor,Cairo Three A Poultry,"FMCG, Food and Beverage Production, Food Services/Restaurants/Catering","Cairo, Egypt • More than 1000 employees",https://wuzzuf.net/jobs/careers/Pyramid-Poultry-Co--Egypt-50882,"New Cairo, Cairo",Posted 10 days ago,2023-05-12,5 to 7 years,Experienced (Non-Manager),Not Specified,Confidential,Analyst/Research ,Business Analysis - Data Analysis - ERP ,"Collecting and interpreting large volumes of data from various sources, such as sales records, customer feedback, and market research. - Developing data models and analysis tools to identify trends and patterns in the data. - Analyzing and interpreting data to provide insights and recommendations that support business decisions. - Creating reports, visualizations, and dashboards to present data in an easily understandable format for stakeholders. - Collaborating with cross-functional teams, such as marketing, finance, and operations, to drive business growth and improve performance. - Ensuring data accuracy and integrity by performing regular audits and quality checks. - Identifying opportunities to optimize processes and improve data collection and analysis methods. ","Strong analytical skills and attention to detail. - Experience with data analysis tools, such as Excel, SQL, and Access. - Knowledge of statistical analysis methods and techniques. - Excellent communication and presentation skills. - Ability to work in a fast-paced, dynamic environment and manage multiple projects simultaneously. - Bachelor’s degree in a relevant field, such as Mathematics, Statistics, Computer Science, or Engineering. - Advanced with data visualization tools, such as Tableau and Power BI,  - Experience with Oracle ERP  - "
