,role_title,company_name,company_industry,company_headquarter,company_url,location_of_job,posted_time,collect_date,experience_needed,career_level,education_level,salary,job_categories,skills_and_tools,job_description,job_requirements
0,Data Analyst,Egypt Gold ,Luxury Goods and Jewelry,"Cairo, Egypt • More than 1000 employees",https://wuzzuf.net/jobs/careers/IRAM-JEWELRY-Egypt-39723,"Heliopolis, Cairo",Posted 14 days ago,2023-10-11,1 to 4 years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance - Analyst/Research ,Analyst - Analysis - analytical - business - Data - Data Analysis - Data Analyst - Economics - Reporting - Statistics ,"Interpret data, analyze results using statistical techniques and provide ongoing reports - Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality - Acquire data from primary or secondary data sources and maintain databases/data systems - Identify, analyze, and interpret trends or patterns in complex data sets - Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems - Work with management to prioritize business and information needs - Locate and define new process improvement opportunities ","Proven working experience as a Data Analyst or Business Data Analyst - Technical expertise regarding data models, database design development, data mining and segmentation techniques - Strong knowledge of and experience with reporting packages. - Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc.) - Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy - Adept at queries, report writing and presenting findings - BS in Mathematics, Economics, or Statistics - "
1,Junior Data Analyst,Options,Outsourcing/Offshoring,"Red Sea, Egypt • 1-10 employees",https://wuzzuf.net/jobs/careers/Options-Egypt-32852,"Mohandessin, Giza",Posted 16 days ago,2023-10-11,2 to 5 years,Experienced (Non-Manager),Not Specified,1000 to 11000 EGP Per Month,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - analytical - Communication skills - Computer Science - Data Analysis - Data visualization - Data - Information Technology (IT) - Python - R - SQL - Tableau ,," Strong analytical skills with a keen eye for detail.  -  Proficiency in data analysis tools and languages (e.g Python, R, SQL) is a plus.  -  Familiarity with data visualization tools (e.g., Looker, Redash, Tableau) is a plus.  - Excellent verbal and written communication skills to convey data findings effectively.  - Ability to work independently and collaboratively in a team-oriented environment.  -  A passion for data analysis and the ability to spot patterns and trends. - Fluency in both spoken and written English - availability to work night or overnight shift. - "
2,SENIOR DATA WAREHOUSE ANALYST,King Faisal Specialist Hospital & Research Centre,unknown,"Riyadh, Saudi Arabia • ",https://wuzzuf.net/jobs/careers/King Faisal Specialist Hospital & Research Centre-Saudi Arabia-94630,"Riyadh, Saudi Arabia",Posted 20 days ago,2023-10-11,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Information Technology (IT) - Computer Science - Data Analysis - Microsoft Office - Analysis - Accounting - Data - Engineering - Finance - Financial Analysis - Python - SQL - Commerce - Data Analyst - Microsoft Excel - Project Management - Software Engineering - Business - Business Administration - Business Analysis ,,not mentioned
3,Data Analyst - Saudi Arabia,peroptyx network,unknown,"Riyadh, Saudi Arabia • ",https://wuzzuf.net/jobs/careers/peroptyx network-Saudi Arabia-94281,"Riyadh, Saudi Arabia",Posted 28 days ago,2023-10-11,Not Specified,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Data Analysis - Analysis - Computer Science - Information Technology (IT) - SQL - Microsoft Office - Microsoft Excel - Data Analyst - Research - Business Analysis - Economics - Engineering - Python - Computer Skills - Data - English - Tableau - Commerce - Finance - Statistics ,,
4,Data Analyst,ITCan,Marketing and Advertising,"Cairo, Egypt • 51-100 employees",https://wuzzuf.net/jobs/careers/ITCan-Egypt-27905,"Rehab City, Cairo",Posted 1 month ago,2023-10-11,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyst/Research ,BI - Analysis - analytical - Computer Science - Data Analysis - Development - Engineering - Information Technology (IT) - Power BI - Data - Science - Tableau - Microsoft Power BI - dashboards - data modeling - data visualization ,"Designing, developing and maintaining business intelligence solutions. - Crafting and executing queries upon request for data. - Presenting information through reports and visualization. - Interact with the team to gain an understanding of the business environment, technical context and organizational strategic direction. - Ensuring data accuracy, performance, usability, and functionality requirements of BI platform. - Collaborate with teams to integrate all data-based systems. - Manage data through MS Excel, Google sheets, and SQL applications, as required and support other analytics platform. - Develop and execute database queries and conduct analyses. - Create visualizations and reports for requested projects. - Develop and update technical documentation requirements. ","BSc/BA in Computer Science, Engineering, or relevant field.  - Financial experience and Marketing background is a plus.  - Strong Power BI development skills including Migration of existing deliverables to PowerBI.  - Ability to work autonomously.  - Data modeling, Calculations, Conversions, - Proven experience as a Power BI Developer is a must. Industry experience is preferred. -  Familiarity with other BI tools (Tableau, QlikView).  - Excellent analytical skills. - "
5,Salesforce Analyst,ManpowerGroup Middle East,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/ManpowerGroup Middle East-United Arab Emirates-91315,"Dubai, United Arab Emirates",Posted 1 day ago,2023-10-11,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Sales/Retail ,information technology (it) - computer science - sales - sales skills - analysis - salesforce - communication skills - vendor - data - analyst ,"Detailed responsibilities listed below:Support & Maintenance: Register, Diagnose, Troubleshoot, and resolve L1/L2 Salesforce.com related issues, providing timely and effective solutions with understanding business’ needs and conducting analysis on how to increase support experience. - Support Monitoring & Vendor management: Monitor the list of all open tickets and work with vendors on issues resolution within defined SLAs. - Documentation: Maintain up-to-date system documentation, including user guides, best practices, and technical notes. - Feedback Loop: Collaborate closely with the IT product owners to provide feedback on potential improvements or adjustments based on user feedback and system analytics. - Security & Compliance: Ensure that user permissions, roles, and profiles are maintained appropriately, keeping in line with our company's data security and compliance guidelines. - Contininious improvement: Regular revisions of existing support process and suggest recommendations on how to improve it further. ",
6,Financial Analyst,Professional Service - Proserv,"Business Services - Other, Human Resources, Outsourcing/Offshoring","Cairo, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/Professional-Service---Proserv-Egypt-61702,Proserv ,Posted 22 hours ago,2023-10-11,5 to 12 years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance ,Financial Analysis - Spreadsheets - Data Analysis - Financial Data Analysis - financial forecasting ,,
7,Analyst - Employee Benefits,Sidra Medicine,unknown,"Doha, Qatar • ",https://wuzzuf.net/jobs/careers/Sidra Medicine-Qatar-91683,"Doha, Qatar",Posted 14 days ago,2023-10-11,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - Information Technology (IT) - Computer Science - Business Analysis - Finance - Accounting - Microsoft Office - Financial Analysis - Research - Data Analysis - Engineering - Software Development - System Analysis - Commerce - SQL - Software - Microsoft Excel - Analyst - Computer Engineering - English ,,not mentioned
8,Junior Business Process Analyst,Tyde Digital,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/Tyde Digital-United Arab Emirates-94963,"Dubai, United Arab Emirates",Posted 14 days ago,2023-10-11,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,information technology (it) - computer science - software development - finance - analysis - business - analyst - analytical - data - communication - training - implementation ,"Develop and maintain detailed mind maps, process maps and other diagrams that accurately depict current (as-is) and future state (to-be) processes - Analyze business processes and workflows to identify opportunities for improvement. - Develop and implement effective strategies to optimize business processes and increase efficiency. - Collaborate with stakeholders to understand business needs and requirements. - Work with cross-functional teams to gather data, perform analysis, and make data-driven recommendations. - Lead process improvement initiatives and monitor progress to ensure successful implementation. - Develop and deliver training materials to educate stakeholders on new processes. - Conduct regular process audits to ensure compliance with company policies and procedures. ",not mentioned
9,SAP Business Analyst,El Teriak Industrial Group,"Agriculture/Fishing/Farming, Automotive, Manufacturing","Cairo, Egypt • More than 1000 employees",https://wuzzuf.net/jobs/careers/El-Teriak-Industrial-Group-Egypt-17942,"Cairo, Egypt",Posted 14 days ago,2023-10-11,5 to 10 years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance - IT/Software Development - Analyst/Research ,Analysis - business - Business Analysis - Business Intelligence - Computer Science - Data Analysis - excel - Information Technology (IT) - Management - Market Research - Research - SQL - SAP Program - SAP - ERP System - ERP Software - ERP Implementation - ERP Consultanting - ERP - Finance - Financial Analysis - Reporting ,"Understand business needs and objectives - Develop strategies for effective data analysis and reporting - Define company-wide metrics and relevant data sources - Select, configure and implement analytics solutions - Lead and develop a team of data analysts - Oversee all analytics operations to correct discrepancies and ensure quality - Extract reports from multiple sources (e.g. operations, IT, customer feedback) - Build systems to transform raw data into actionable business insights - Apply industry knowledge to interpret data and improve performance - Keep abreast of industry news and trends ","Proven experience as an Analytics Manager or Data Scientist - Solid experience in data analysis and reporting; industry experience is a plus - Background in market research and project management - Knowledge of Excel, R and SQL; familiarity with business intelligence tools (e.g. Tableau, SAS) - Superb communication skills - Analytical skills and strong organizational abilities - Attention to detail - Problem-solving aptitude - BSc/BA in Computer Science, Statistics, Data Management or a related field - "
